2023-06-19 14:42:25.899 [background-preinit] INFO  org.hibernate.validator.internal.util.Version:21 - HV000001: Hibernate Validator 6.1.6.Final
2023-06-19 14:42:27.813 [main] INFO  c.u.j.EncryptablePropertySourceConverter:38 - Converting PropertySource systemEnvironment [org.springframework.boot.env.SystemEnvironmentPropertySourceEnvironmentPostProcessor$OriginAwareSystemEnvironmentPropertySource] to EncryptableMapPropertySourceWrapper
2023-06-19 14:42:27.813 [main] INFO  c.u.j.EncryptablePropertySourceConverter:38 - Converting PropertySource random [org.springframework.boot.env.RandomValuePropertySource] to EncryptablePropertySourceWrapper
2023-06-19 14:42:27.813 [main] INFO  c.u.j.EncryptablePropertySourceConverter:38 - Converting PropertySource Config resource 'class path resource [application.yml]' via location 'optional:classpath:/' [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
2023-06-19 14:42:27.904 [main] INFO  c.u.j.filter.DefaultLazyPropertyFilter:31 - Property Filter custom Bean not found with name 'encryptablePropertyFilter'. Initializing Default Property Filter
2023-06-19 14:42:28.230 [main] INFO  c.u.j.resolver.DefaultLazyPropertyResolver:31 - Property Resolver custom Bean not found with name 'encryptablePropertyResolver'. Initializing Default Property Resolver
2023-06-19 14:42:28.230 [main] INFO  c.u.j.detector.DefaultLazyPropertyDetector:30 - Property Detector custom Bean not found with name 'encryptablePropertyDetector'. Initializing Default Property Detector
2023-06-19 14:42:28.417 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:108 - Tomcat initialized with port(s): 8800 (http)
2023-06-19 14:42:28.426 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8800"]
2023-06-19 14:42:28.427 [main] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
2023-06-19 14:42:28.427 [main] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.41]
2023-06-19 14:42:28.538 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/shiyi]:173 - Initializing Spring embedded WebApplicationContext
2023-06-19 14:42:28.538 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:289 - Root WebApplicationContext: initialization completed in 2583 ms
2023-06-19 14:42:31.859 [main] WARN  org.springframework.data.convert.CustomConversions:270 - Registering converter from class org.springframework.data.geo.Point to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-06-19 14:42:31.859 [main] WARN  org.springframework.data.convert.CustomConversions:260 - Registering converter from interface java.util.Map to class org.springframework.data.geo.Point as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-06-19 14:42:31.860 [main] WARN  org.springframework.data.convert.CustomConversions:270 - Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoPoint to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-06-19 14:42:31.860 [main] WARN  org.springframework.data.convert.CustomConversions:260 - Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoPoint as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-06-19 14:42:31.860 [main] WARN  org.springframework.data.convert.CustomConversions:270 - Registering converter from interface org.springframework.data.elasticsearch.core.geo.GeoJson to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-06-19 14:42:31.860 [main] WARN  org.springframework.data.convert.CustomConversions:260 - Registering converter from interface java.util.Map to interface org.springframework.data.elasticsearch.core.geo.GeoJson as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-06-19 14:42:31.861 [main] WARN  org.springframework.data.convert.CustomConversions:270 - Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoJsonPoint to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-06-19 14:42:31.861 [main] WARN  org.springframework.data.convert.CustomConversions:260 - Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoJsonPoint as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-06-19 14:42:31.861 [main] WARN  org.springframework.data.convert.CustomConversions:270 - Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoJsonMultiPoint to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-06-19 14:42:31.861 [main] WARN  org.springframework.data.convert.CustomConversions:260 - Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoJsonMultiPoint as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-06-19 14:42:31.861 [main] WARN  org.springframework.data.convert.CustomConversions:270 - Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoJsonLineString to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-06-19 14:42:31.861 [main] WARN  org.springframework.data.convert.CustomConversions:260 - Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoJsonLineString as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-06-19 14:42:31.862 [main] WARN  org.springframework.data.convert.CustomConversions:270 - Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoJsonMultiLineString to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-06-19 14:42:31.862 [main] WARN  org.springframework.data.convert.CustomConversions:260 - Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoJsonMultiLineString as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-06-19 14:42:31.862 [main] WARN  org.springframework.data.convert.CustomConversions:270 - Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoJsonPolygon to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-06-19 14:42:31.863 [main] WARN  org.springframework.data.convert.CustomConversions:260 - Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoJsonPolygon as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-06-19 14:42:31.863 [main] WARN  org.springframework.data.convert.CustomConversions:270 - Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoJsonMultiPolygon to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-06-19 14:42:31.863 [main] WARN  org.springframework.data.convert.CustomConversions:260 - Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoJsonMultiPolygon as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-06-19 14:42:31.863 [main] WARN  org.springframework.data.convert.CustomConversions:270 - Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoJsonGeometryCollection to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-06-19 14:42:31.864 [main] WARN  org.springframework.data.convert.CustomConversions:260 - Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoJsonGeometryCollection as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
2023-06-19 14:42:32.956 [main] INFO  o.s.data.elasticsearch.support.VersionInfo:62 - Version Spring Data Elasticsearch: 4.1.2
2023-06-19 14:42:32.957 [main] INFO  o.s.data.elasticsearch.support.VersionInfo:63 - Version Elasticsearch Client in build: 7.9.3
2023-06-19 14:42:32.957 [main] INFO  o.s.data.elasticsearch.support.VersionInfo:64 - Version Elasticsearch Client used: 7.9.3
2023-06-19 14:42:33.045 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor:181 - Initializing ExecutorService
2023-06-19 14:42:33.046 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor:181 - Initializing ExecutorService 'threadPoolTaskExecutor'
2023-06-19 14:42:33.726 [main] INFO  com.alibaba.druid.pool.DruidDataSource:994 - {dataSource-1} inited
2023-06-19 14:42:34.208 [main] INFO  org.quartz.impl.StdSchedulerFactory:1220 - Using default implementation for ThreadExecutor
2023-06-19 14:42:34.221 [main] INFO  org.quartz.core.SchedulerSignalerImpl:61 - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
2023-06-19 14:42:34.221 [main] INFO  org.quartz.core.QuartzScheduler:229 - Quartz Scheduler v.2.3.2 created.
2023-06-19 14:42:34.222 [main] INFO  org.quartz.simpl.RAMJobStore:155 - RAMJobStore initialized.
2023-06-19 14:42:34.223 [main] INFO  org.quartz.core.QuartzScheduler:294 - Scheduler meta-data: Quartz Scheduler (v2.3.2) 'quartzScheduler' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.

2023-06-19 14:42:34.223 [main] INFO  org.quartz.impl.StdSchedulerFactory:1374 - Quartz scheduler 'quartzScheduler' initialized from an externally provided properties instance.
2023-06-19 14:42:34.223 [main] INFO  org.quartz.impl.StdSchedulerFactory:1378 - Quartz scheduler version: 2.3.2
2023-06-19 14:42:34.223 [main] INFO  org.quartz.core.QuartzScheduler:2293 - JobFactory set to: org.springframework.scheduling.quartz.SpringBeanJobFactory@445b85d7
2023-06-19 14:42:35.808 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Starting ProtocolHandler ["http-nio-8800"]
2023-06-19 14:42:35.820 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:220 - Tomcat started on port(s): 8800 (http) with context path '/shiyi'
2023-06-19 14:42:36.603 [main] INFO  o.s.scheduling.quartz.SchedulerFactoryBean:727 - Starting Quartz Scheduler now
2023-06-19 14:42:36.604 [main] INFO  org.quartz.core.QuartzScheduler:547 - Scheduler quartzScheduler_$_NON_CLUSTERED started.
2023-06-19 14:42:36.613 [main] INFO  com.shiyi.BlogApplication:61 - Started BlogApplication in 11.203 seconds (JVM running for 13.206)
2023-06-19 14:44:16.852 [http-nio-8800-exec-5] INFO  org.apache.tomcat.util.http.parser.Cookie:173 - A cookie header was received [1685204639,1685284047,1686127674; username-localhost-8888="2|1:0|10:1686144558|23:username-localhost-8888|44:ODBlZDU0ZjAzMzc2NGY5Nzg3N2UzMDE3MDM4MGExNmQ=|c5ff3df6c93573ff472001e276d02cbd284fca29a5642d18f4b9d9e9ed7ee3aa"; _xsrf=2|63a6e7cb|b6b64f831bed5039e12d247eaa6bc9d6|1686144558; username-localhost-8889="2|1:0|10:1686183579|23:username-localhost-8889|44:ZGJiMTJhYTA5YzQ4NGI5Mjk2OTdmM2M4NGY5MWI2MTQ=|9366db5de166ef8ca75bd44463d9ee440428cf39c9653388d28c0a462f487400"; Idea-8296f2b2=ddbbdd3a-3405-48db-87d3-7d5920c01efe] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
2023-06-19 14:44:16.865 [http-nio-8800-exec-5] INFO  o.a.c.c.C.[Tomcat].[localhost].[/shiyi]:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-19 14:44:16.866 [http-nio-8800-exec-5] INFO  org.springframework.web.servlet.DispatcherServlet:525 - Initializing Servlet 'dispatcherServlet'
2023-06-19 14:44:16.869 [http-nio-8800-exec-5] INFO  org.springframework.web.servlet.DispatcherServlet:547 - Completed initialization in 3 ms
2023-06-19 14:44:16.903 [http-nio-8800-exec-5] WARN  org.springframework.web.servlet.PageNotFound:1272 - No mapping for GET /shiyi/
2023-06-19 14:46:04.455 [http-nio-8800-exec-9] INFO  com.shiyi.config.satoken.MySaTokenListener:67 - 用户已登录,useId:15,token:b9847a2a-7cb4-490b-ae7c-ab36ff116adb
2023-06-19 17:35:54.649 [SpringContextShutdownHook] INFO  org.quartz.core.QuartzScheduler:585 - Scheduler quartzScheduler_$_NON_CLUSTERED paused.
2023-06-19 17:35:55.139 [SpringContextShutdownHook] INFO  o.s.scheduling.quartz.SchedulerFactoryBean:845 - Shutting down Quartz Scheduler
2023-06-19 17:35:55.139 [SpringContextShutdownHook] INFO  org.quartz.core.QuartzScheduler:666 - Scheduler quartzScheduler_$_NON_CLUSTERED shutting down.
2023-06-19 17:35:55.139 [SpringContextShutdownHook] INFO  org.quartz.core.QuartzScheduler:585 - Scheduler quartzScheduler_$_NON_CLUSTERED paused.
2023-06-19 17:35:55.140 [SpringContextShutdownHook] INFO  org.quartz.core.QuartzScheduler:740 - Scheduler quartzScheduler_$_NON_CLUSTERED shutdown complete.
2023-06-19 17:35:55.141 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor:218 - Shutting down ExecutorService 'threadPoolTaskExecutor'
2023-06-19 17:35:55.294 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource:2029 - {dataSource-1} closing ...
2023-06-19 17:35:55.312 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource:2101 - {dataSource-1} closed
